SYMBOL,NAME, Open Position Before Release ,, Current Day Release ,, Current Day Take-up ,, Markup Weighted  Average , Net Open Position ,,
,, Volume , Value , Volume , Value , Volume , Value ,, Volume , Value , % 
POL,PAKISTAN OILFIELDS LIMITED," 651,400 "," 124,338,726 "," 33,600 "," 4,166,433 "," 15,400 "," 2,806,419 ", 15 ," 633,200 "," 122,978,712 ", 11 
POWER,POWER CEMENT LIMITED," 137,000 "," 940,968 "," 50,000 "," 391,800 ", -   , -   , -   ," 87,000 "," 549,168 ", 0 
PPL,PAKISTAN PETROLEUM LIMITED," 47,000 "," 4,557,525 ", -   , -   ," 20,100 "," 1,763,624 ", 15 ," 67,100 "," 6,321,149 ", 1 
PRL,PAKISTAN REFINERY LIMITED," 379,000 "," 12,394,811 "," 17,500 "," 520,958 "," 14,000 "," 399,210 ", 15 ," 375,500 "," 12,273,064 ", 1 
PSMC,PAK SUZUKI MOTOR COMPANY LIMITED," 3,800 "," 1,314,952 ", -   , -   , 200 ," 66,750 ", 15 ," 4,000 "," 1,381,702 ", 0 
PSO,PAKISTAN STATE OIL COMPANY LIMITED," 88,900 "," 21,461,485 "," 2,600 "," 661,575 "," 28,200 "," 6,686,400 ", 15 ," 114,500 "," 27,486,310 ", 3 
PTC,PAKISTAN TELECOMMUNICATION COMPANY LTD," 1,760,500 "," 26,998,688 "," 34,000 "," 425,520 "," 14,000 "," 149,730 ", 15 ," 1,740,500 "," 26,722,898 ", 3 
QUICE,QUICE FOOD INDUSTRIES LIMITED," 375,000 "," 2,624,426 "," 3,500 "," 18,716 ", -   , -   , -   ," 371,500 "," 2,605,710 ", 0 
RICL,RELIANCE INSURANCE COMPANY LIMITED," 30,000 "," 359,100 ", -   , -   , -   , -   , -   ," 30,000 "," 359,100 ", 0 
SEARL,THE SEARLE COMPANY LIMITED," 95,200 "," 30,519,033 "," 2,000 "," 663,521 "," 2,800 "," 906,150 ", 15 ," 96,000 "," 30,761,663 ", 3 
SFL,SAPPHIRE FIBRES LIMITED, 100 ," 48,555 ", -   , -   , -   , -   , -   , 100 ," 48,555 ", -   
SGML,SHAKARGANJ LIMITED," 21,000 "," 229,350 ", -   , -   , -   , -   , -   ," 21,000 "," 229,350 ", 0 
SHEL,SHELL PAKISTAN LIMITED," 2,500 "," 429,473 ", -   , -   , -   , -   , -   ," 2,500 "," 429,473 ", 0 
SILK,SILKBANK LIMITED," 50,000 "," 62,210 ", -   , -   , -   , -   , -   ," 50,000 "," 62,210 ", 0 
SMBL,SUMMIT BANK LIMITED," 25,000 "," 54,470 ", -   , -   , -   , -   , -   ," 25,000 "," 54,470 ", 0 
SMTM,SAMIN TEXTILES LIMITED," 2,500 "," 9,138 ", -   , -   , -   , -   , -   ," 2,500 "," 9,138 ", -   
